Tempat,Rating Tempat,Total Ulasan,Nama Reviewer,Bintang,Tanggal,Ulasan
RSUD Ibnu Sina Gresik,4.2,1807,juwanto wanto,5,2026-07-06T02:40:38.160Z,"Ruang Dahlia sangat nyaman, semua faselitas terpenuhi, respon perawat cepat pokoknya pasien dan keluarganya nyaman"
RSUD Ibnu Sina Gresik,4.2,1807,Ipank Mprut,5,2026-07-06T00:40:12.624Z,Terima kasih atas pelayanan d ruang Dahlia semoga ke depan nya memberikan pelayanan yang jauh lebih baik lagi
RSUD Ibnu Sina Gresik,4.2,1807,Kokom Kuswanto,5,2026-06-30T04:42:49.529Z,
RSUD Ibnu Sina Gresik,4.2,1807,Safira Wahyu Pratiwi 051 A1-18,5,2026-06-30T04:41:20.605Z,Ruang dahlia pelayanannya the besttttt baikkk 😍 semuanya ramah2
RSUD Ibnu Sina Gresik,4.2,1807,Risa Dwipristiyanti,4,2026-06-28T14:47:39.805Z,Di mohon untuk keamanan satpam di pertegas lagi... Saya telah kehilangan hp saat MLM hari sekitar jam 2 jam 3 tgl 27 Juni 2026 dan yg kehilangan bukan cuma saya bahkan keluarga pasien lain kehilangan hp juga sama uang  saya sudah lapor pihak satpam ngk ada tindak lanjut lagi... Dan di mohon untuk cctv ruangan di perbaiki dan di tambah cctv lebih banyak lagi soalnya cctv ruangan kamar pasien telah rusak semua dan jam2 kunjungan pasien di mohon di batasi.. trimakasih 🙏
RSUD Ibnu Sina Gresik,4.2,1807,Ika Rahmawati,5,2026-06-27T02:26:30.314Z,Klinik Psikologi Klinis Alhamdulillah saya mendapatkan pelayanan yang baik. Dan semoga ada perkembangan yang baik untuk anak saya sesuai dengan arahan dan treatment yang dilakukan kami nanti di rumah.
RSUD Ibnu Sina Gresik,4.2,1807,Muhammad Fauzi,5,2026-06-26T01:39:08.781Z,Alhamdulillah klinik psikologi rumah sakit Ibnu Sina bisa memberikan solusi terbaik untuk permasalahan psikologi anak kami. Tks untuk Bu Dokter dan asisten.🙏🙏🙏
RSUD Ibnu Sina Gresik,4.2,1807,Ivan Nandasyah,5,2026-06-24T12:26:23.793Z,Pelayanan ramah dan cepat
RSUD Ibnu Sina Gresik,4.2,1807,Yanti Nur,3,2026-06-23T07:10:56.104Z,Kontrol sdh bbrp mnggu yang llu..administrasi sdh selesai.hsil ronsen jg sdh dberikan tp petugas tdk mnjelaskan apapun pdhl wktu itu saya sdh brtnya apa ini brlnjut k kasir apa gmn tp tdk ada pnjlsn lngsung aj saya plg krn saya blm prnh ksna jg brobt bru kli ini...dan stlh bbrp mnggu kmudian ada tlf dari pihak rumh skit menagih administrasi ronsen🤦🏻‍♀️.mhon lbh teliti lg soal administrasi n pnjlsan kpd pasien/kluarga pasien
RSUD Ibnu Sina Gresik,4.2,1807,Ferdi Firmansyah,1,2026-06-22T23:20:57.914Z,RUMAH SAKIT NEMEN
